Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
149.171.126.3-59.166.0.2-56614-3803-6,149.171.126.3,56614,59.166.0.2,3803,6,22/01/2015 07:02:23 PM,131,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22900.763358778622,65.5,88.38834764831844,128.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,32,64,7633.587786259542,15267.175572519083,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,10136,5792,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
59.166.0.0-149.171.126.3-13083-41372-6,59.166.0.0,13083,149.171.126.3,41372,6,22/01/2015 09:06:46 AM,314,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9554.140127388537,157.0,219.2031021678297,312.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,32,64,3184.7133757961783,6369.426751592357,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,14480,14480,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
59.166.0.0-149.171.126.5-24276-62527-17,59.166.0.0,24276,149.171.126.5,62527,17,22/01/2015 02:38:16 PM,1788,4,4,424.0,192.0,124.0,88.0,106.0,20.784609690826528,72.0,24.0,48.0,27.712812921102035,344519.0156599552,4474.272930648769,255.42857142857144,391.2338844999911,1052.0,2.0,1349.0,449.6666666666666,769.3206960256128,1338.0,4.0,729.0,243.0,412.23900834346085,719.0,2.0,0,0,0,0,32,32,2237.1364653243845,2237.1364653243845,24.0,124.0,78.22222222222223,36.11709352155077,1304.4444444444443,0,0,0,0,0,0,0,0,1.0,88.0,106.0,48.0,0,0,0,616,8,344519,0,0,0,0,0,0,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
59.166.0.1-149.171.126.1-6584-111-17,59.166.0.1,6584,149.171.126.1,111,17,17/02/2015 11:21:41 PM,4773,4,4,456.0,192.0,114.0,114.0,114.0,0.0,48.0,48.0,48.0,0.0,135763.67064739155,1676.094699350513,681.8571428571429,901.0185770507044,2076.0,2.0,3766.0,1255.3333333333337,2167.372910537855,3758.0,4.0,3094.0,1031.3333333333337,1778.52926130928,3085.0,2.0,0,0,0,0,32,32,838.0473496752566,838.0473496752566,48.0,114.0,84.66666666666667,34.785054261852174,1210.0,0,0,0,0,0,0,0,0,1.0,95.25,114.0,48.0,0,0,0,648,8,135763,0,0,0,0,0,0,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
149.171.126.17-175.45.176.2-32581-24830-6,149.171.126.17,32581,175.45.176.2,24830,6,18/02/2015 01:44:17 AM,583342,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.857040981105423,194447.3333333333,291167.1134148452,529203.0,9.0,0.0,0.0,0.0,0.0,0.0,54139.0,27069.5,38269.32610459714,54130.0,9.0,0,0,0,0,20,60,1.7142602452763558,5.142780735829067,0.0,0.0,0.0,0.0,0.0,2,0,0,0,4,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,16383,16383,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
59.166.0.9-149.171.126.5-31537-25-6,59.166.0.9,31537,149.171.126.5,25,6,18/02/2015 04:08:03 AM,347,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8645.533141210375,173.5,242.5376259469858,345.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,32,64,2881.844380403458,5763.688760806916,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,15928,30408,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
59.166.0.8-149.171.126.4-49586-6881-6,59.166.0.8,49586,149.171.126.4,6881,6,22/01/2015 01:44:06 PM,18046,14,15,700.0,700.0,277.0,0.0,49.99999999999999,99.13316607162618,277.0,0.0,46.66666666666666,96.39551461606104,77579.51900698215,1607.0043222874876,644.5000000000001,1274.1550431851194,4732.0,1.0,17736.0,1364.3076923076924,2179.16740157854,5702.0,1.0,17583.0,1255.9285714285716,2325.239390960579,7669.0,1.0,0,0,0,0,456,488,775.7951900698216,831.209132217666,0.0,277.0,46.66666666666666,94.7189429888211,8971.67816091954,1,4,0,12,27,0,0,0,1.0,48.27586206896552,50.0,46.66666666666666,0,0,0,1400,12,112278,0,0,0,0,5792,10136,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
59.166.0.8-149.171.126.7-1868-51666-6,59.166.0.8,1868,149.171.126.7,51666,6,22/01/2015 10:38:04 AM,324,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9259.25925925926,162.0,226.2741699796952,322.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,32,64,3086.4197530864194,6172.839506172839,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,43440,14480,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
59.166.0.4-149.171.126.4-18111-37575-6,59.166.0.4,18111,149.171.126.4,37575,6,22/01/2015 09:31:00 AM,13537,42,43,470.0,24984.0,66.0,0.0,11.190476190476192,20.774325260080392,1300.0,0.0,581.0232558139534,617.4049951350562,1880327.9899534609,6279.086946886311,161.15476190476193,284.15003223724005,1729.0,1.0,12487.0,304.5609756097561,489.7288049921348,2000.0,1.0,12929.0,307.8333333333333,473.9177100879005,2013.0,1.0,0,0,0,0,1352,1384,3102.607667873236,3176.479279013075,0.0,1300.0,295.9767441860465,520.3548783789813,270769.1994528044,1,4,0,42,83,0,0,0,1.0,299.45882352941175,11.19047619047619,581.0232558139535,0,0,0,25454,42,2075167,0,0,0,0,5792,14480,12,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
59.166.0.7-149.171.126.2-1537-6881-6,59.166.0.7,1537,149.171.126.2,6881,6,22/01/2015 08:36:15 AM,202325,14,15,700.0,700.0,277.0,0.0,49.99999999999999,99.13316607162618,277.0,0.0,46.66666666666666,96.39551461606104,6919.560113678487,143.33374521191152,7225.892857142858,14768.855529619144,59211.0,1.0,196011.0,15077.76923076923,24134.16865895683,59211.0,1.0,201779.0,14412.785714285716,26654.209461686765,82841.0,2.0,0,0,0,0,456,488,69.19560113678487,74.13814407512665,0.0,277.0,46.66666666666666,94.71894298882108,8971.678160919539,1,4,0,12,27,0,0,0,1.0,48.27586206896552,50.0,46.66666666666666,0,0,0,1400,12,9850,0,0,0,0,5792,10136,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
